origin,destination,carrier,month,day_of_week,port_congestion,weather_severity,is_holiday_season,is_monsoon,base_transit_days,delay_days
Shanghai,Mumbai,dhl,9,2,0.709,0.553,0,1,18,5.1
Guangzhou,Kolkata,fedex,3,1,0.867,0.913,0,0,14,6.5
Rotterdam,Mumbai,msc,1,5,0.796,0.89,1,0,22,27.0
Shanghai,Kolkata,msc,2,1,0.438,0.672,0,0,16,1.2
Hamburg,Kolkata,ups,6,1,0.86,0.25,0,1,25,2.5
Guangzhou,Kolkata,cma_cgm,6,2,0.127,0.522,0,1,14,1.5
Rotterdam,Mumbai,msc,6,4,0.194,0.411,0,1,22,7.3
Dubai,Mumbai,msc,2,3,0.715,0.041,0,0,7,1.1
Guangzhou,Kolkata,fedex,5,1,0.963,0.836,0,0,14,0.0
Shanghai,Mumbai,msc,5,0,0.173,0.156,0,0,18,3.1
Colombo,Mumbai,dhl,8,4,0.28,0.955,0,1,5,2.4
Shanghai,Kolkata,ups,6,4,0.42,0.248,0,1,16,7.3
Shanghai,Mumbai,ups,12,4,0.094,0.311,1,0,18,0.0
Hamburg,Kolkata,msc,5,3,0.017,0.763,0,0,25,0.0
Hamburg,Kolkata,cma_cgm,5,6,0.048,0.949,0,0,25,9.3
Singapore,Chennai,fedex,4,6,0.015,0.933,0,0,10,8.0
Rotterdam,Mumbai,msc,8,6,0.944,0.867,0,1,22,8.2
Colombo,Mumbai,maersk,4,3,0.388,0.643,0,0,5,5.5
Rotterdam,Mumbai,msc,3,0,0.961,0.905,0,0,22,0.0
Singapore,Chennai,ups,12,6,0.377,0.039,1,0,10,0.3
Guangzhou,Kolkata,ups,10,1,0.023,0.814,0,0,14,4.9
Shanghai,Mumbai,msc,10,4,0.348,0.937,0,0,18,3.7
Rotterdam,Mumbai,dhl,4,1,0.423,0.569,0,0,22,0.0
Dubai,Mumbai,dhl,3,3,0.372,0.776,0,0,7,3.6
Rotterdam,Mumbai,msc,1,6,0.751,0.755,1,0,22,6.3
Shanghai,Mumbai,cma_cgm,1,0,0.505,0.826,1,0,18,9.0
Shanghai,Mumbai,msc,12,4,0.905,0.091,1,0,18,5.4
Shanghai,Kolkata,msc,4,2,0.493,0.083,0,0,16,3.5
Singapore,Chennai,maersk,5,3,0.946,0.781,0,0,10,4.2
Shanghai,Kolkata,ups,5,1,0.974,0.996,0,0,16,11.1
Shanghai,Kolkata,msc,9,1,0.837,0.867,0,1,16,8.6
Hamburg,Kolkata,cma_cgm,8,1,0.397,0.892,0,1,25,5.7
Hamburg,Kolkata,maersk,8,4,0.371,0.813,0,1,25,0.0
Shanghai,Kolkata,dhl,4,3,0.376,0.084,0,0,16,2.1
Dubai,Mumbai,fedex,10,2,0.111,0.493,0,0,7,4.1
Rotterdam,Mumbai,fedex,12,5,0.056,0.119,1,0,22,3.8
Shanghai,Mumbai,maersk,12,5,0.4,0.478,1,0,18,1.7
Shanghai,Mumbai,dhl,6,4,0.963,0.012,0,1,18,5.2
Dubai,Mumbai,msc,5,3,0.554,0.969,0,0,7,6.9
Guangzhou,Kolkata,dhl,1,5,0.294,0.996,1,0,14,2.0
Shanghai,Kolkata,dhl,11,3,0.959,0.058,1,0,16,10.0
Hamburg,Kolkata,msc,8,3,0.336,0.17,0,1,25,0.0
Singapore,Chennai,fedex,12,3,0.36,0.26,1,0,10,6.8
Dubai,Mumbai,cma_cgm,1,0,0.31,0.814,1,0,7,3.7
Hamburg,Kolkata,maersk,6,1,0.417,0.581,0,1,25,7.8
Shanghai,Mumbai,fedex,10,5,0.866,0.045,0,0,18,3.0
Shanghai,Mumbai,fedex,1,2,0.594,0.381,1,0,18,3.7
Hamburg,Kolkata,maersk,11,0,0.838,0.469,1,0,25,0.0
Colombo,Mumbai,cma_cgm,12,0,0.534,0.75,1,0,5,5.6
Dubai,Mumbai,ups,7,4,0.726,0.757,0,1,7,3.0
Shanghai,Mumbai,cma_cgm,1,2,0.275,0.207,1,0,18,1.6
Shanghai,Mumbai,dhl,8,1,0.358,0.114,0,1,18,3.6
Hamburg,Kolkata,maersk,11,1,0.852,0.552,1,0,25,19.3
Rotterdam,Mumbai,cma_cgm,11,0,0.59,0.48,1,0,22,12.9
Hamburg,Kolkata,fedex,11,2,0.903,0.617,1,0,25,4.2
Guangzhou,Kolkata,cma_cgm,2,1,0.637,0.555,0,0,14,5.0
Shanghai,Mumbai,cma_cgm,1,6,0.397,0.622,1,0,18,3.6
Dubai,Mumbai,dhl,5,4,0.147,0.927,0,0,7,0.0
Colombo,Mumbai,ups,2,5,0.493,0.329,0,0,5,2.4
Dubai,Mumbai,maersk,11,2,0.537,0.46,1,0,7,2.0
Colombo,Mumbai,msc,8,3,0.346,0.897,0,1,5,7.0
Dubai,Mumbai,maersk,2,4,0.192,0.041,0,0,7,0.3
Rotterdam,Mumbai,cma_cgm,5,5,0.121,0.461,0,0,22,0.0
Guangzhou,Kolkata,cma_cgm,2,0,0.503,0.69,0,0,14,1.9
Hamburg,Kolkata,maersk,1,1,0.868,0.085,1,0,25,7.4
Dubai,Mumbai,ups,4,6,0.537,0.924,0,0,7,5.3
Hamburg,Kolkata,fedex,10,5,0.148,0.133,0,0,25,0.0
Dubai,Mumbai,cma_cgm,11,6,0.03,0.867,1,0,7,2.1
Colombo,Mumbai,dhl,7,4,0.182,0.564,0,1,5,1.2
Shanghai,Mumbai,cma_cgm,10,5,0.12,0.891,0,0,18,9.6
Dubai,Mumbai,dhl,2,6,0.584,0.737,0,0,7,5.1
Shanghai,Kolkata,dhl,12,2,0.379,0.337,1,0,16,4.4
Dubai,Mumbai,maersk,6,4,0.934,0.008,0,1,7,7.4
Rotterdam,Mumbai,cma_cgm,6,6,0.488,0.851,0,1,22,6.6
Dubai,Mumbai,msc,6,5,0.258,0.171,0,1,7,5.5
Dubai,Mumbai,cma_cgm,9,1,0.557,0.572,0,1,7,7.3
Hamburg,Kolkata,fedex,6,3,0.425,0.508,0,1,25,0.0
Shanghai,Mumbai,msc,1,1,0.768,0.087,1,0,18,9.1
Rotterdam,Mumbai,maersk,3,0,0.369,0.454,0,0,22,2.9
Rotterdam,Mumbai,fedex,12,1,0.322,0.81,1,0,22,8.8
Shanghai,Mumbai,dhl,11,6,0.472,0.412,1,0,18,0.0
Hamburg,Kolkata,dhl,5,5,0.746,0.409,0,0,25,0.3
Shanghai,Mumbai,cma_cgm,12,4,0.14,0.795,1,0,18,0.0
Hamburg,Kolkata,msc,3,4,0.186,0.236,0,0,25,6.5
Shanghai,Mumbai,ups,10,0,0.683,0.452,0,0,18,4.4
Colombo,Mumbai,cma_cgm,3,4,0.301,0.748,0,0,5,1.7
Shanghai,Mumbai,fedex,5,2,0.543,0.432,0,0,18,2.8
Dubai,Mumbai,maersk,8,1,0.139,0.794,0,1,7,5.4
Shanghai,Kolkata,maersk,4,4,0.152,0.312,0,0,16,8.5
Rotterdam,Mumbai,maersk,7,0,0.034,0.57,0,1,22,5.7
Shanghai,Mumbai,cma_cgm,6,4,0.111,0.846,0,1,18,5.6
Colombo,Mumbai,msc,8,6,0.797,0.15,0,1,5,6.5
Guangzhou,Kolkata,maersk,3,2,0.566,0.716,0,0,14,1.4
Dubai,Mumbai,ups,4,2,0.959,0.343,0,0,7,3.5
Guangzhou,Kolkata,cma_cgm,11,3,0.912,0.139,1,0,14,2.2
Guangzhou,Kolkata,dhl,1,6,0.726,0.593,1,0,14,9.2
Shanghai,Kolkata,fedex,9,5,0.077,0.104,0,1,16,3.7
Shanghai,Mumbai,cma_cgm,11,6,0.123,0.236,1,0,18,2.0
Shanghai,Kolkata,dhl,1,6,0.311,0.227,1,0,16,1.9
Shanghai,Kolkata,ups,9,4,0.335,0.803,0,1,16,6.8
Dubai,Mumbai,cma_cgm,2,6,0.347,0.738,0,0,7,0.0
Shanghai,Mumbai,maersk,11,3,0.913,0.248,1,0,18,1.9
Rotterdam,Mumbai,dhl,1,4,0.581,0.632,1,0,22,6.5
Singapore,Chennai,fedex,5,0,0.178,0.961,0,0,10,1.8
Singapore,Chennai,ups,8,0,0.3,0.31,0,1,10,0.9
Hamburg,Kolkata,maersk,11,2,0.349,0.468,1,0,25,0.0
Colombo,Mumbai,maersk,2,0,0.776,0.453,0,0,5,6.0
Guangzhou,Kolkata,cma_cgm,12,0,0.401,0.56,1,0,14,4.3
Rotterdam,Mumbai,maersk,10,1,0.897,0.527,0,0,22,3.3
Shanghai,Mumbai,msc,2,6,0.659,0.027,0,0,18,0.7
Dubai,Mumbai,ups,8,5,0.339,0.569,0,1,7,2.3
Dubai,Mumbai,dhl,12,6,0.721,0.805,1,0,7,6.0
Hamburg,Kolkata,maersk,4,3,0.668,0.205,0,0,25,4.0
Shanghai,Kolkata,fedex,7,1,0.086,0.208,0,1,16,0.0
Guangzhou,Kolkata,dhl,5,3,0.336,0.825,0,0,14,7.8
Dubai,Mumbai,msc,4,4,0.345,0.774,0,0,7,5.6
Dubai,Mumbai,msc,10,5,0.78,0.114,0,0,7,3.4
Hamburg,Kolkata,maersk,7,0,0.485,0.512,0,1,25,10.2
Shanghai,Mumbai,dhl,6,5,0.835,0.984,0,1,18,10.5
Guangzhou,Kolkata,ups,2,6,0.683,0.823,0,0,14,8.2
Shanghai,Mumbai,cma_cgm,2,0,0.405,0.497,0,0,18,3.7
Singapore,Chennai,ups,10,5,0.137,0.9,0,0,10,2.7
Singapore,Chennai,ups,9,4,0.175,0.914,0,1,10,5.8
Guangzhou,Kolkata,ups,12,5,0.519,0.047,1,0,14,5.5
Dubai,Mumbai,ups,4,2,0.245,0.389,0,0,7,0.1
Colombo,Mumbai,maersk,4,0,0.722,0.61,0,0,5,4.5
Colombo,Mumbai,cma_cgm,6,4,0.484,0.27,0,1,5,5.1
Shanghai,Kolkata,msc,3,2,0.842,0.846,0,0,16,4.4
Shanghai,Mumbai,dhl,8,0,0.413,0.705,0,1,18,13.3
Colombo,Mumbai,fedex,9,6,0.076,0.078,0,1,5,2.6
Shanghai,Mumbai,ups,1,1,0.691,0.521,1,0,18,3.2
Singapore,Chennai,cma_cgm,8,2,0.732,0.807,0,1,10,9.2
Hamburg,Kolkata,dhl,2,0,0.647,0.693,0,0,25,9.8
Shanghai,Mumbai,ups,10,6,0.044,0.588,0,0,18,0.0
Shanghai,Kolkata,ups,7,0,0.193,0.115,0,1,16,1.5
Dubai,Mumbai,ups,2,6,0.862,0.845,0,0,7,6.8
Shanghai,Mumbai,cma_cgm,8,2,0.561,0.481,0,1,18,3.2
Dubai,Mumbai,ups,11,1,0.725,0.065,1,0,7,5.7
Rotterdam,Mumbai,cma_cgm,9,4,0.626,0.886,0,1,22,0.0
Guangzhou,Kolkata,msc,2,6,0.462,0.99,0,0,14,6.6
Dubai,Mumbai,cma_cgm,4,4,0.767,0.402,0,0,7,4.1
Rotterdam,Mumbai,msc,9,3,0.984,0.768,0,1,22,0.0
Rotterdam,Mumbai,dhl,1,2,0.467,0.297,1,0,22,0.0
Guangzhou,Kolkata,msc,2,5,0.589,0.277,0,0,14,3.0
Singapore,Chennai,msc,11,1,0.798,0.259,1,0,10,4.7
Singapore,Chennai,cma_cgm,7,6,0.945,0.467,0,1,10,4.6
Singapore,Chennai,msc,11,3,0.838,0.231,1,0,10,7.4
Dubai,Mumbai,ups,10,2,0.177,0.22,0,0,7,2.1
Hamburg,Kolkata,ups,5,5,0.969,0.884,0,0,25,1.7
Dubai,Mumbai,msc,10,0,0.174,0.396,0,0,7,3.9
Colombo,Mumbai,maersk,3,5,0.623,0.748,0,0,5,5.5
Shanghai,Mumbai,dhl,4,5,0.86,0.457,0,0,18,0.0
Rotterdam,Mumbai,dhl,3,0,0.852,0.035,0,0,22,0.0
Shanghai,Kolkata,dhl,5,2,0.087,0.408,0,0,16,0.0
Rotterdam,Mumbai,fedex,2,5,0.962,0.109,0,0,22,0.1
Singapore,Chennai,ups,1,1,0.495,0.481,1,0,10,7.2
Colombo,Mumbai,fedex,8,2,0.864,0.734,0,1,5,6.5
Colombo,Mumbai,maersk,8,3,0.851,0.867,0,1,5,8.0
Shanghai,Mumbai,ups,10,3,0.619,0.753,0,0,18,5.8
Shanghai,Kolkata,ups,11,4,0.872,0.029,1,0,16,4.8
Dubai,Mumbai,ups,7,6,0.001,0.556,0,1,7,2.7
Rotterdam,Mumbai,ups,12,6,0.193,0.084,1,0,22,6.0
Colombo,Mumbai,fedex,12,4,0.78,0.107,1,0,5,3.1
Hamburg,Kolkata,fedex,9,1,0.342,0.633,0,1,25,4.9
Guangzhou,Kolkata,msc,11,0,0.771,0.709,1,0,14,8.5
Hamburg,Kolkata,dhl,6,1,0.075,0.852,0,1,25,15.1
Singapore,Chennai,ups,12,6,0.066,0.822,1,0,10,2.2
Shanghai,Kolkata,maersk,11,1,0.001,0.159,1,0,16,4.9
Dubai,Mumbai,ups,9,6,0.527,0.826,0,1,7,5.0
Dubai,Mumbai,msc,2,6,0.68,0.655,0,0,7,4.4
Rotterdam,Mumbai,ups,11,3,0.398,0.274,1,0,22,0.0
Dubai,Mumbai,maersk,1,1,0.894,0.23,1,0,7,4.0
Shanghai,Kolkata,msc,11,3,0.186,0.869,1,0,16,9.6
Rotterdam,Mumbai,maersk,2,3,0.018,0.797,0,0,22,4.7
Guangzhou,Kolkata,maersk,4,5,0.462,0.001,0,0,14,1.6
Shanghai,Kolkata,dhl,12,3,0.43,0.201,1,0,16,1.4
Hamburg,Kolkata,ups,5,1,0.798,0.31,0,0,25,3.5
Rotterdam,Mumbai,dhl,8,4,0.072,0.392,0,1,22,14.4
Colombo,Mumbai,maersk,9,0,0.953,0.908,0,1,5,7.1
Dubai,Mumbai,cma_cgm,3,0,0.242,0.987,0,0,7,3.5
Hamburg,Kolkata,msc,4,0,0.56,0.01,0,0,25,0.0
Singapore,Chennai,dhl,2,0,0.088,0.351,0,0,10,0.0
Shanghai,Kolkata,fedex,10,1,0.821,0.041,0,0,16,2.2
Singapore,Chennai,dhl,8,2,0.124,0.896,0,1,10,6.7
Shanghai,Kolkata,dhl,2,3,0.871,0.714,0,0,16,8.6
Hamburg,Kolkata,msc,11,6,0.08,0.895,1,0,25,12.8
Guangzhou,Kolkata,maersk,9,3,0.732,0.082,0,1,14,5.7
Hamburg,Kolkata,msc,7,3,0.16,0.872,0,1,25,0.0
Shanghai,Kolkata,ups,7,2,0.162,0.021,0,1,16,0.4
Dubai,Mumbai,cma_cgm,5,0,0.493,0.082,0,0,7,0.0
Hamburg,Kolkata,dhl,7,3,0.174,0.961,0,1,25,0.8
Guangzhou,Kolkata,ups,8,3,0.629,0.735,0,1,14,5.4
Guangzhou,Kolkata,dhl,3,0,0.439,0.725,0,0,14,7.4
Colombo,Mumbai,msc,2,6,0.901,0.422,0,0,5,5.9
Hamburg,Kolkata,ups,12,2,0.623,0.632,1,0,25,0.0
Shanghai,Kolkata,dhl,3,1,0.716,0.909,0,0,16,2.5
Hamburg,Kolkata,fedex,7,4,0.854,0.492,0,1,25,1.6
Hamburg,Kolkata,cma_cgm,12,4,0.445,0.515,1,0,25,12.3
Hamburg,Kolkata,dhl,11,0,0.969,0.258,1,0,25,0.0
Rotterdam,Mumbai,ups,1,3,0.131,0.97,1,0,22,0.0
Dubai,Mumbai,cma_cgm,10,4,0.337,0.829,0,0,7,3.1
Shanghai,Mumbai,ups,4,2,0.949,0.253,0,0,18,0.0
Dubai,Mumbai,ups,5,3,0.475,0.844,0,0,7,0.4
Singapore,Chennai,msc,6,3,0.54,0.034,0,1,10,2.1
Rotterdam,Mumbai,ups,11,4,0.103,0.585,1,0,22,6.5
Singapore,Chennai,fedex,4,4,0.48,0.686,0,0,10,3.1
Colombo,Mumbai,maersk,2,6,0.667,0.14,0,0,5,3.8
Colombo,Mumbai,cma_cgm,4,1,0.202,0.673,0,0,5,2.1
Rotterdam,Mumbai,cma_cgm,2,0,0.838,0.945,0,0,22,15.4
Guangzhou,Kolkata,cma_cgm,2,1,0.618,0.869,0,0,14,3.5
Colombo,Mumbai,dhl,4,0,0.601,0.941,0,0,5,3.9
Hamburg,Kolkata,ups,5,0,0.107,0.658,0,0,25,1.2
Colombo,Mumbai,ups,9,4,0.567,0.738,0,1,5,5.4
Singapore,Chennai,fedex,6,5,0.926,0.438,0,1,10,7.4
Shanghai,Mumbai,cma_cgm,6,6,0.006,0.325,0,1,18,1.2
Singapore,Chennai,fedex,7,6,0.695,0.389,0,1,10,1.7
Shanghai,Mumbai,maersk,12,5,0.073,0.603,1,0,18,2.8
Hamburg,Kolkata,cma_cgm,10,1,0.463,0.38,0,0,25,3.6
Hamburg,Kolkata,msc,5,4,0.341,0.38,0,0,25,9.7
Guangzhou,Kolkata,ups,12,3,0.608,0.765,1,0,14,7.5
Dubai,Mumbai,maersk,5,6,0.431,0.897,0,0,7,5.7
Rotterdam,Mumbai,msc,9,3,0.927,0.06,0,1,22,5.2
Guangzhou,Kolkata,cma_cgm,4,4,0.285,0.307,0,0,14,4.0
Shanghai,Kolkata,msc,3,1,0.61,0.716,0,0,16,2.9
Shanghai,Mumbai,cma_cgm,11,6,0.681,0.181,1,0,18,0.0
Rotterdam,Mumbai,dhl,10,4,0.257,0.963,0,0,22,9.4
Shanghai,Mumbai,msc,8,4,0.633,0.951,0,1,18,6.4
Shanghai,Kolkata,cma_cgm,6,4,0.884,0.228,0,1,16,7.6
Guangzhou,Kolkata,dhl,10,0,0.237,0.781,0,0,14,0.0
Guangzhou,Kolkata,maersk,4,3,0.671,0.81,0,0,14,3.1
Shanghai,Kolkata,fedex,5,6,0.235,0.869,0,0,16,3.7
Shanghai,Mumbai,ups,1,5,0.024,0.642,1,0,18,7.0
Guangzhou,Kolkata,dhl,9,5,0.142,0.275,0,1,14,8.7
Shanghai,Kolkata,ups,2,2,0.443,0.446,0,0,16,5.6
Singapore,Chennai,fedex,6,1,0.906,0.773,0,1,10,5.3
Singapore,Chennai,ups,1,3,0.192,0.323,1,0,10,1.9
Singapore,Chennai,ups,1,3,0.068,0.8,1,0,10,1.2
Dubai,Mumbai,ups,8,5,0.593,0.68,0,1,7,4.5
Hamburg,Kolkata,cma_cgm,2,6,0.378,0.363,0,0,25,0.0
Dubai,Mumbai,fedex,7,5,0.334,0.58,0,1,7,6.3
Shanghai,Kolkata,fedex,9,6,0.756,0.348,0,1,16,7.0
Singapore,Chennai,msc,3,5,0.235,0.399,0,0,10,2.7
Shanghai,Mumbai,cma_cgm,5,3,0.624,0.089,0,0,18,6.4
Shanghai,Kolkata,dhl,5,3,0.782,0.709,0,0,16,1.7
Rotterdam,Mumbai,fedex,11,0,0.554,0.306,1,0,22,0.0
Singapore,Chennai,cma_cgm,7,1,0.601,0.516,0,1,10,5.5
Hamburg,Kolkata,msc,5,3,0.209,0.931,0,0,25,8.5
Guangzhou,Kolkata,cma_cgm,2,4,0.381,0.878,0,0,14,4.7
Colombo,Mumbai,msc,9,6,0.403,0.174,0,1,5,4.6
Guangzhou,Kolkata,maersk,2,5,0.976,0.641,0,0,14,5.0
Hamburg,Kolkata,dhl,4,6,0.487,0.606,0,0,25,3.8
Hamburg,Kolkata,cma_cgm,4,2,0.953,0.825,0,0,25,1.3
Rotterdam,Mumbai,fedex,4,0,0.233,0.08,0,0,22,2.5
Singapore,Chennai,msc,4,1,0.278,0.851,0,0,10,0.3
Shanghai,Kolkata,maersk,5,2,0.192,0.212,0,0,16,5.5
Hamburg,Kolkata,maersk,2,4,0.619,0.297,0,0,25,0.0
Rotterdam,Mumbai,dhl,12,5,0.265,0.178,1,0,22,1.6
Colombo,Mumbai,msc,1,3,0.633,0.229,1,0,5,5.1
Rotterdam,Mumbai,msc,4,3,0.848,0.724,0,0,22,2.1
Rotterdam,Mumbai,msc,3,6,0.526,0.482,0,0,22,1.8
Rotterdam,Mumbai,cma_cgm,7,1,0.134,0.419,0,1,22,0.0
Hamburg,Kolkata,ups,10,6,0.137,0.535,0,0,25,0.0
Singapore,Chennai,maersk,5,3,0.266,0.149,0,0,10,1.8
Hamburg,Kolkata,msc,2,3,0.243,0.652,0,0,25,5.7
Rotterdam,Mumbai,cma_cgm,10,4,0.956,0.133,0,0,22,10.7
Colombo,Mumbai,dhl,8,0,0.943,0.809,0,1,5,6.2
Guangzhou,Kolkata,fedex,12,4,0.825,0.495,1,0,14,4.9
Colombo,Mumbai,maersk,6,0,0.614,0.067,0,1,5,3.4
Colombo,Mumbai,msc,1,6,0.68,0.042,1,0,5,5.7
Shanghai,Mumbai,maersk,1,4,0.802,0.105,1,0,18,6.0
Colombo,Mumbai,fedex,4,2,0.971,0.942,0,0,5,4.9
Dubai,Mumbai,msc,3,2,0.412,0.55,0,0,7,2.0
Colombo,Mumbai,msc,1,6,0.782,0.228,1,0,5,6.2
Shanghai,Mumbai,fedex,2,2,0.121,0.615,0,0,18,4.0
Guangzhou,Kolkata,cma_cgm,2,1,0.799,0.293,0,0,14,8.1
Colombo,Mumbai,fedex,6,4,0.582,0.748,0,1,5,5.6
Dubai,Mumbai,fedex,1,1,0.225,0.372,1,0,7,5.5
Dubai,Mumbai,cma_cgm,12,1,0.613,0.943,1,0,7,6.0
Colombo,Mumbai,maersk,1,4,0.286,0.816,1,0,5,4.9
Shanghai,Kolkata,dhl,12,0,0.544,0.636,1,0,16,6.1
Shanghai,Kolkata,msc,11,5,0.753,0.269,1,0,16,11.1
Singapore,Chennai,ups,2,1,0.132,0.726,0,0,10,0.7
Dubai,Mumbai,msc,6,2,0.758,0.743,0,1,7,8.0
Dubai,Mumbai,cma_cgm,3,6,0.689,0.873,0,0,7,7.7
Shanghai,Kolkata,fedex,10,0,0.742,0.881,0,0,16,6.4
Singapore,Chennai,maersk,10,1,0.204,0.555,0,0,10,3.9
Dubai,Mumbai,fedex,9,4,0.539,0.524,0,1,7,7.3
Guangzhou,Kolkata,fedex,10,5,0.833,0.011,0,0,14,5.5
Singapore,Chennai,maersk,3,6,0.306,0.877,0,0,10,5.1
Rotterdam,Mumbai,fedex,4,6,0.449,0.722,0,0,22,4.1
Rotterdam,Mumbai,cma_cgm,5,5,0.696,0.003,0,0,22,8.1
Hamburg,Kolkata,cma_cgm,4,3,0.794,0.093,0,0,25,0.7
Hamburg,Kolkata,maersk,8,4,0.58,0.561,0,1,25,20.8
Singapore,Chennai,cma_cgm,8,1,0.599,0.602,0,1,10,3.7
Colombo,Mumbai,ups,12,5,0.982,0.21,1,0,5,6.5
Singapore,Chennai,maersk,4,5,0.328,0.434,0,0,10,2.5
Dubai,Mumbai,msc,11,6,0.998,0.933,1,0,7,8.4
Rotterdam,Mumbai,dhl,1,5,0.636,0.786,1,0,22,4.5
Hamburg,Kolkata,msc,11,6,0.572,0.588,1,0,25,0.5
Shanghai,Mumbai,msc,10,1,0.165,0.7,0,0,18,9.6
Hamburg,Kolkata,dhl,11,4,0.783,0.056,1,0,25,14.8
Dubai,Mumbai,cma_cgm,10,2,0.377,0.462,0,0,7,0.0
Colombo,Mumbai,ups,4,5,0.631,0.05,0,0,5,1.6
Shanghai,Kolkata,fedex,3,0,0.78,0.007,0,0,16,2.0
Singapore,Chennai,dhl,4,4,0.069,0.057,0,0,10,0.0
Hamburg,Kolkata,cma_cgm,12,6,0.247,0.906,1,0,25,0.4
Hamburg,Kolkata,fedex,9,4,0.268,0.156,0,1,25,0.0
Singapore,Chennai,maersk,4,1,0.906,0.139,0,0,10,0.0
Shanghai,Kolkata,cma_cgm,2,2,0.963,0.56,0,0,16,8.2
Shanghai,Kolkata,ups,10,1,0.419,0.26,0,0,16,4.4
Guangzhou,Kolkata,ups,8,0,0.464,0.972,0,1,14,1.3
Colombo,Mumbai,msc,9,4,0.114,0.151,0,1,5,2.3
Shanghai,Kolkata,cma_cgm,7,0,0.523,0.115,0,1,16,2.0
Guangzhou,Kolkata,msc,10,2,0.068,0.708,0,0,14,0.0
Hamburg,Kolkata,fedex,1,1,0.166,0.946,1,0,25,4.8
Colombo,Mumbai,dhl,2,1,0.462,0.412,0,0,5,2.8
Colombo,Mumbai,cma_cgm,12,2,0.459,0.052,1,0,5,6.6
Shanghai,Kolkata,dhl,7,4,0.165,0.33,0,1,16,2.7
